,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,RushDirection,Time Left
0,2020122602,2020-12-26,2,9,44,LV,MIA,2,10,82,-9,SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,584.0
1,2020122602,2020-12-26,2,9,3,LV,MIA,3,19,73,18,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,543.0
2,2020122500,2020-12-25,3,1,17,MIN,NO,3,9,67,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,1,0,,977.0
3,2020122500,2020-12-25,3,1,12,MIN,NO,1,10,82,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,1,0,,972.0
4,2020122500,2020-12-25,3,1,6,MIN,NO,1,1,99,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,966.0
5,2020122600,2020-12-26,2,13,48,TB,DET,2,6,53,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,828.0
6,2020122600,2020-12-26,2,13,24,TB,DET,1,10,65,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,804.0
7,2020122601,2020-12-26,1,13,53,ARI,SF,1,10,61,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1733.0
9,2020122702,2020-12-27,4,4,14,DEN,LAC,1,15,58,-1,SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,254.0
10,2020122702,2020-12-27,4,3,34,DEN,LAC,2,16,57,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,214.0
11,2020122702,2020-12-27,4,2,52,DEN,LAC,3,10,63,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,172.0
13,2020122602,2020-12-26,3,10,38,MIA,LV,2,8,90,10,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,0,0,,1538.0
14,2020122602,2020-12-26,4,10,40,LV,MIA,2,8,57,0,UNDER CENTER,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,640.0
15,2020122602,2020-12-26,4,5,33,MIA,LV,1,10,65,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,0,0,,333.0
17,2020122704,2020-12-27,1,1,19,NYJ,CLE,2,1,55,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,979.0
18,2020122704,2020-12-27,1,0,42,NYJ,CLE,1,10,57,43,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,0,0,,942.0
19,2020122704,2020-12-27,3,7,41,NYJ,CLE,1,10,51,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,1361.0
20,2020122704,2020-12-27,3,7,35,NYJ,CLE,2,10,51,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1355.0
21,2020122704,2020-12-27,3,6,49,NYJ,CLE,3,11,100,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1309.0
22,2020122704,2020-12-27,4,2,24,CLE,NYJ,1,10,64,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,144.0
23,2020122704,2020-12-27,4,2,5,CLE,NYJ,2,2,72,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,125.0
25,2020122704,2020-12-27,4,1,58,CLE,NYJ,3,2,72,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,118.0
26,2020122704,2020-12-27,4,1,38,CLE,NYJ,1,10,75,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,98.0
28,2020122705,2020-12-27,2,0,45,BAL,NYG,1,10,57,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,45.0
29,2020122705,2020-12-27,2,0,40,BAL,NYG,2,4,63,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,1,0,,40.0
30,2020122705,2020-12-27,2,0,34,BAL,NYG,3,4,63,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,34.0
31,2020122705,2020-12-27,4,4,18,BAL,NYG,2,10,85,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,258.0
32,2020122705,2020-12-27,4,3,29,BAL,NYG,3,3,92,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,209.0
33,2020122706,2020-12-27,1,12,47,CIN,HOU,1,10,57,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,1667.0
34,2020122706,2020-12-27,1,12,6,CIN,HOU,2,9,58,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1626.0
35,2020122706,2020-12-27,1,11,21,CIN,HOU,3,1,66,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,1581.0
36,2020122706,2020-12-27,1,10,41,CIN,HOU,1,10,69,15,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1541.0
37,2020122706,2020-12-27,1,10,0,CIN,HOU,1,10,84,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,1500.0
38,2020122706,2020-12-27,1,9,21,CIN,HOU,2,8,86,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1461.0
40,2020122706,2020-12-27,4,3,45,CIN,HOU,1,10,100,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,225.0
41,2020122707,2020-12-27,3,13,33,CHI,JAX,1,10,59,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1713.0
42,2020122707,2020-12-27,3,12,57,CHI,JAX,2,7,62,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1677.0
43,2020122707,2020-12-27,3,12,28,CHI,JAX,3,5,64,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,0,0,,1648.0
44,2020122707,2020-12-27,3,12,23,CHI,JAX,4,5,64,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1643.0
45,2020122707,2020-12-27,3,6,35,CHI,JAX,1,10,58,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1295.0
46,2020122707,2020-12-27,3,5,56,CHI,JAX,2,10,58,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1256.0
48,2020122707,2020-12-27,3,5,20,CHI,JAX,3,2,66,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1220.0
49,2020122707,2020-12-27,3,4,49,CHI,JAX,1,10,79,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1189.0
50,2020122707,2020-12-27,3,0,55,CHI,JAX,1,10,52,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,955.0
51,2020122707,2020-12-27,3,0,14,CHI,JAX,2,8,54,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,914.0
53,2020122707,2020-12-27,4,15,0,CHI,JAX,1,10,62,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,900.0
54,2020122707,2020-12-27,4,14,53,CHI,JAX,2,10,62,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,893.0
55,2020122707,2020-12-27,4,14,13,CHI,JAX,3,7,65,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,853.0
56,2020122709,2020-12-27,1,12,32,IND,PIT,1,10,58,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,1652.0
57,2020122709,2020-12-27,2,8,50,IND,PIT,1,10,84,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,530.0
58,2020122709,2020-12-27,4,7,48,PIT,IND,2,10,70,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,1,0,,468.0
59,2020122712,2020-12-27,3,9,41,DAL,PHI,1,9,91,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,1,0,CENTER,1481.0
60,2020122712,2020-12-27,3,9,19,DAL,PHI,1,4,96,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1459.0
61,2020122712,2020-12-27,3,8,41,DAL,PHI,2,3,97,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1421.0
65,2020122710,2020-12-27,4,7,23,WAS,CAR,1,10,57,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,443.0
66,2020122710,2020-12-27,4,7,16,WAS,CAR,2,10,57,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,436.0
